raw_value,clean_for_rules,category,changed_by_cleaning
40%40L w/NO 20 PPM,40%40L w/NO 20 PPM,other,No
40%40LHFNC,40%40LHFNC,other,No
40%40liters,40%40liters,other,No
40%40lpm,40%40lpm,other,No
40%5,40%5,other,No
40%50L,40%50L,other,No
40%50L HFNC,40%50L HFNC,other,No
40%60L,40%60L,other,No
40%60L HFNC,40%60L HFNC,other,No
40%; ECMO 90% S1,40%; ECMO 90% S1,other,No
40%; PEEP 5,40%; PEEP 5,other,No
40%; PEEP 6,40%; PEEP 6,other,No
40%; R Fem,40%; R Fem,other,No
40%; peep 5,40%; peep 5,other,No
"40%FIO2, PEEP 8","40%FIO2, PEEP 8",other,No
"40%FO2, PEEP 5","40%FO2, PEEP 5",other,No
40%FiO2/+10 PEEP,40%FiO2/+10 PEEP,other,No
40%FiO2/+10PEEP,40%FiO2/+10PEEP,other,No
40%FiO2/+5PEEP,40%FiO2/+5PEEP,other,No
40%FiO2/+8 PEEP,40%FiO2/+8 PEEP,other,No
40%HFNC,40%HFNC,other,No
40%MV,40%MV,other,No
40%PC,40%PC,other,No
40%PC 23/8 RR18,40%PC 23/8 RR18,other,No
40%PC 30 peep5 rate25,40%PC 30 peep5 rate25,other,No
40%PC13/8,40%PC13/8,other,No
40%PEEP10,40%PEEP10,other,No
40%PEEP3,40%PEEP3,other,No
40%PEEP5,40%PEEP5,other,No
40%PEEP6,40%PEEP6,other,No
40%PEEP7,40%PEEP7,other,No
40%PEEP8,40%PEEP8,other,No
40%PS,40%PS,other,No
40%PS 7/5,40%PS 7/5,other,No
40%PS5/10,40%PS5/10,other,No
40%PSV,40%PSV,other,No
40%RR28,40%RR28,other,No
40%V/40%ECMO/2sweep,40%V/40%ECMO/2sweep,other,No
40%V/55%ECMO/2sweep,40%V/55%ECMO/2sweep,other,No
40%V/60%ECMO/3sweep,40%V/60%ECMO/3sweep,other,No
40%V/60%ECMO/4,40%V/60%ECMO/4,other,No
40%V/70%ECMO/5sweep,40%V/70%ECMO/5sweep,other,No
40%VC,40%VC,other,No
40%VC 420TV,40%VC 420TV,other,No
40%VC 450/5 RR 18,40%VC 450/5 RR 18,other,No
40%VC RR16,40%VC RR16,other,No
40%VC RR18,40%VC RR18,other,No
40%VC RR24,40%VC RR24,other,No
40%VC+5,40%VC+5,other,No
40%VC+8,40%VC+8,other,No
"40%VC, R16","40%VC, R16",other,No
40%VC340 peep 8 rate20,40%VC340 peep 8 rate20,other,No
40%VC440 peep 8 rate 24,40%VC440 peep 8 rate 24,other,No
40%Vent,40%Vent,other,No
40%fiO2,40%fiO2,other,No
40%fiO2 PEEP 5,40%fiO2 PEEP 5,other,No
40%fiO2 PEEP 8,40%fiO2 PEEP 8,other,No
40%fiO2 peep 5,40%fiO2 peep 5,other,No
"40%fiO2, PEEP 8","40%fiO2, PEEP 8",other,No
40%fio2,40%fio2,other,No
40%fio2 VC+,40%fio2 VC+,other,No
"40%fio2, PEEP 8","40%fio2, PEEP 8",other,No
40%o2,40%o2,other,No
40%peep 5,40%peep 5,other,No
40%peep8,40%peep8,other,No
40%v FiO2,40%v FiO2,other,No
40%vent,40%vent,other,No
40%vent 70% ecmo,40%vent 70% ecmo,other,No
"40%vent, 100% ecmo,3s","40%vent, 100% ecmo,3s",other,No
"40%vent, 100% ecmo,s2","40%vent, 100% ecmo,s2",other,No
"40%vent, 100%sweep4","40%vent, 100%sweep4",other,No
"40%vent, 70% ecmo","40%vent, 70% ecmo",other,No
40%vent/0sweep,40%vent/0sweep,other,No
40%vent/100% ECMO,40%vent/100% ECMO,other,No
40%vent/100% ecmo,40%vent/100% ecmo,other,No
40%vent/100%ECMO,40%vent/100%ECMO,other,No
40& @40L,40& @40L,other,No
"40& vent, 100% ECMO","40& vent, 100% ECMO",other,No
"40, PEEP 8","40, PEEP 8",other,No
"40, PS 5/5","40, PS 5/5",other,No
"40,000 CFU/mL Aerococcus urinae","40,000 CFU/mL Aerococcus urinae",other,No
"40,000 CFU/mL Beta Streptococcus","40,000 CFU/mL Beta Streptococcus",other,No
"40,000 CFU/mL Candida albicans","40,000 CFU/mL Candida albicans",other,No
"40,000 CFU/mL Candida parapsilosis","40,000 CFU/mL Candida parapsilosis",other,No
"40,000 CFU/mL Candida tropicalis","40,000 CFU/mL Candida tropicalis",other,No
"40,000 CFU/mL Citrobacter freundii","40,000 CFU/mL Citrobacter freundii",other,No
"40,000 CFU/mL Corynebacterium species, not urealyticum","40,000 CFU/mL Corynebacterium species, not urealyticum",other,No
"40,000 CFU/mL Coryneform bacteria","40,000 CFU/mL Coryneform bacteria",other,No
"40,000 CFU/mL Enterobacter cloacae complex","40,000 CFU/mL Enterobacter cloacae complex",other,No
"40,000 CFU/mL Enterococcus avium","40,000 CFU/mL Enterococcus avium",other,No
"40,000 CFU/mL Enterococcus faecalis","40,000 CFU/mL Enterococcus faecalis",other,No
"40,000 CFU/mL Enterococcus species","40,000 CFU/mL Enterococcus species",other,No
"40,000 CFU/mL Enterococcus-like colonies","40,000 CFU/mL Enterococcus-like colonies",other,No
"40,000 CFU/mL Escherichia coli","40,000 CFU/mL Escherichia coli",other,No
"40,000 CFU/mL Escherichia coli-like colonies","40,000 CFU/mL Escherichia coli-like colonies",other,No
"40,000 CFU/mL Klebsiella oxytoca","40,000 CFU/mL Klebsiella oxytoca",other,No
"40,000 CFU/mL Klebsiella pneumoniae","40,000 CFU/mL Klebsiella pneumoniae",other,No
"40,000 CFU/mL Methicillin Resistant Staphylococcus aureus","40,000 CFU/mL Methicillin Resistant Staphylococcus aureus",other,No
"40,000 CFU/mL Morganella morganii","40,000 CFU/mL Morganella morganii",other,No
"40,000 CFU/mL Myroides species","40,000 CFU/mL Myroides species",other,No
"40,000 CFU/mL Probable Staphylococcus aureus","40,000 CFU/mL Probable Staphylococcus aureus",other,No
"40,000 CFU/mL Probable candida albicans","40,000 CFU/mL Probable candida albicans",other,No
"40,000 CFU/mL Proteus mirabilis","40,000 CFU/mL Proteus mirabilis",other,No
"40,000 CFU/mL Proteus species","40,000 CFU/mL Proteus species",other,No
"40,000 CFU/mL Pseudomonas aeruginosa","40,000 CFU/mL Pseudomonas aeruginosa",other,No
"40,000 CFU/mL Pseudomonas-like colonies","40,000 CFU/mL Pseudomonas-like colonies",other,No
"40,000 CFU/mL Staphylococcus aureus","40,000 CFU/mL Staphylococcus aureus",other,No
"40,000 CFU/mL Staphylococcus epidermidis","40,000 CFU/mL Staphylococcus epidermidis",other,No
"40,000 CFU/mL Staphylococcus haemolyticus","40,000 CFU/mL Staphylococcus haemolyticus",other,No
"40,000 CFU/mL Staphylococcus-like colonies","40,000 CFU/mL Staphylococcus-like colonies",other,No
"40,000 CFU/mL Streptococcus agalactiae","40,000 CFU/mL Streptococcus agalactiae",other,No
"40,000 CFU/mL Viridans group Streptococcus","40,000 CFU/mL Viridans group Streptococcus",other,No
"40,000 CFU/mL Viridans strep-like colonies","40,000 CFU/mL Viridans strep-like colonies",other,No
"40,000 CFU/mL Yeast","40,000 CFU/mL Yeast",other,No
40/100%,40/100%,other,No
40/100/1.5,40/100/1.5,other,No
40/20 high flow,40/20 high flow,other,No
40/40 ECMO 100/s12,40/40 ECMO 100/s12,other,No
40/40 HFNC,40/40 HFNC,other,No
40/40 hfnc,40/40 hfnc,other,No
"40/40, flow 2.5, sweep 2.5, 100%","40/40, flow 2.5, sweep 2.5, 100%",other,No
"40/40, va 2.9, sweep 2.5, 100%","40/40, va 2.9, sweep 2.5, 100%",other,No
40/45%,40/45%,other,No
40/60 ecmo sweep 4,40/60 ecmo sweep 4,other,No
40/60/1.5,40/60/1.5,other,No
40/60/3.5,40/60/3.5,other,No
40/70/1.5,40/70/1.5,other,No
40/80%,40/80%,other,No
40/PEEP 5,40/PEEP 5,other,No
400/18/5/40%,400/18/5/40%,other,No
"403,000",403000,other,Yes
405 FiO2 peep 9,405 FiO2 peep 9,other,No
40L  40%,40L 40%,other,Yes
40L / 100%,40L / 100%,other,No
40L / 40%,40L / 40%,other,No
40L / 50%,40L / 50%,other,No
40L 100%,40L 100%,other,No
40L 100% HFNC E100% S2.5,40L 100% HFNC E100% S2.5,other,No
40L 25%,40L 25%,other,No
40L 30%,40L 30%,other,No
40L 30% FiO2,40L 30% FiO2,other,No
40L 35%,40L 35%,other,No
40L 36%,40L 36%,other,No
40L 40 %,40L 40 %,other,No
40L 40%,40L 40%,other,No
40L 40% HFNC,40L 40% HFNC,other,No
40L 40% HFNC/sweep 1.5 100% fio2,40L 40% HFNC/sweep 1.5 100% fio2,other,No
40L 40pct by hfnc,40L 40pct by hfnc,other,No
40L 45%,40L 45%,other,No
40L 50%,40L 50%,other,No
40L 50% FiO2 HFNC,40L 50% FiO2 HFNC,other,No
40L 50% HFNC,40L 50% HFNC,other,No
40L 60%,40L 60%,other,No
40L 60%  HFNC,40L 60% HFNC,other,Yes
40L 60% HFNC,40L 60% HFNC,other,No
40L 66%,40L 66%,other,No
40L 70%,40L 70%,other,No
40L 80%,40L 80%,other,No
40L 90%,40L 90%,other,No
40L FiO2 30%,40L FiO2 30%,other,No
40L HFNC,40L HFNC,other,No
"40L, 40% hfnc","40L, 40% hfnc",other,No
"40L, 50%","40L, 50%",other,No
"40L, 60%","40L, 60%",other,No
"40L, 60% hi flow/ vv ecmo swp 4, fi02 100%","40L, 60% hi flow/ vv ecmo swp 4, fi02 100%",other,No
40L/ FiO2=50%,40L/ FiO2=50%,other,No
40L/100%,40L/100%,other,No
40L/30%,40L/30%,other,No
"40L/30% HFNC, VA sweep 1.5 90%","40L/30% HFNC, VA sweep 1.5 90%",other,No
"40L/30% HFNC, sweep 3, 70% ECMO","40L/30% HFNC, sweep 3, 70% ECMO",other,No
40L/40%,40L/40%,other,No
40L/40% HFNC,40L/40% HFNC,other,No
40L/45%,40L/45%,other,No
40L/50%,40L/50%,other,No
40L/60%,40L/60%,other,No
40L/60% hiflow,40L/60% hiflow,other,No
40L/80%,40L/80%,other,No
40L/80%HFNC,40L/80%HFNC,other,No
40L/85%,40L/85%,other,No
40L/85% VA flow 3.6 S1,40L/85% VA flow 3.6 S1,other,No
40L/FIO2 85%,40L/FIO2 85%,other,No
40L/FiO2=40%,40L/FiO2=40%,other,No
40L/min 100%,40L/min 100%,other,No
40L30%,40L30%,other,No
40L40%,40L40%,other,No
40L60%,40L60%,other,No
40LPM 100%,40LPM 100%,other,No
40LPM 40%,40LPM 40%,other,No
40LPM 40% HFNC,40LPM 40% HFNC,other,No
40LPM 80%+nonrebreather,40LPM 80%+nonrebreather,other,No
40LPM 90%,40LPM 90%,other,No
40l 60%,40l 60%,other,No
40l 80%,40l 80%,other,No
40l hfnc,40l hfnc,other,No
40lit 60% via HFNC,40lit 60% via HFNC,other,No
40liters 30%,40liters 30%,other,No
40liters 40 % hiflow,40liters 40 % hiflow,other,No
"40liters,65% via HFNC","40liters,65% via HFNC",other,No
40lpm 90%,40lpm 90%,other,No
40lpm/30%,40lpm/30%,other,No
"40vent, 100% ECMO, sweep 2","40vent, 100% ECMO, sweep 2",other,No
"40vent, 100% on ECMo sweep 2","40vent, 100% on ECMo sweep 2",other,No
41% + peep 5,41% + peep 5,other,No
41% 21iNO,41% 21iNO,other,No
"42% FiO2 on vent, PC","42% FiO2 on vent, PC",other,No
42% PEEP 5,42% PEEP 5,other,No
"42%, PEEP 12","42%, PEEP 12",other,No
"421,000",421000,other,Yes
"43%, VA 70%, sweep 4","43%, VA 70%, sweep 4",other,No
430/20/8/50%,430/20/8/50%,other,No
"45 FIO2, 8 PEEP","45 FIO2, 8 PEEP",other,No
45 Peep 8,45 Peep 8,other,No
45%  PS 7 peep 12,45% PS 7 peep 12,other,Yes
45%  Peep 8,45% Peep 8,other,Yes
"45% (PC 10/5, RR 14)","45% (PC 10/5, RR 14)",other,No
"45% (PC 25/5, RR 26)","45% (PC 25/5, RR 26)",other,No
"45% (PC 7/5, RR 14)","45% (PC 7/5, RR 14)",other,No
45% + 5,45% + 5,other,No
45% + 8,45% + 8,other,No
45% + PEEP 6,45% + PEEP 6,other,No
45% + PEEP 8,45% + PEEP 8,other,No
45% +10,45% +10,other,No
45% +10 rr20,45% +10 rr20,other,No
45% +5,45% +5,other,No
45% - O2 Sat - 80%,45% - O2 Sat - 80%,other,No
45% 10/8,45% 10/8,other,No
45% 10ppm iNO,45% 10ppm iNO,other,No
45% 20 L,45% 20 L,other,No
45% 25L,45% 25L,other,No
45% 30L,45% 30L,other,No
45% 40L,45% 40L,other,No
45% 45L,45% 45L,other,No
45% 50L,45% 50L,other,No
45% @40LPM,45% @40LPM,other,No
45% AVAPS,45% AVAPS,other,No
45% BiPAP,45% BiPAP,other,No
45% FIO2 V/C,45% FIO2 V/C,other,No
45% FIO2 vent,45% FIO2 vent,other,No
45% FIo2  PEEP 5,45% FIo2 PEEP 5,other,Yes
45% FIo2/ 40L,45% FIo2/ 40L,other,No
45% FiO2,45% FiO2,other,No
45% FiO2 PEEP 10,45% FiO2 PEEP 10,other,No
45% FiO2 PEEP 5,45% FiO2 PEEP 5,other,No
45% HFNC,45% HFNC,other,No
45% MV,45% MV,other,No
45% PC 1,45% PC 1,other,No
"45% PC 10/5, RR 14","45% PC 10/5, RR 14",other,No
45% PC 14 PEEP5,45% PC 14 PEEP5,other,No
45% PC 15/10,45% PC 15/10,other,No
45% PC 16/8 RR 20 PEEP 8,45% PC 16/8 RR 20 PEEP 8,other,No
45% PC 8/8 RR 14,45% PC 8/8 RR 14,other,No
45% PC15/8 RR24,45% PC15/8 RR24,other,No
45% PC18/8 RR24,45% PC18/8 RR24,other,No
45% PC18/8 RR26,45% PC18/8 RR26,other,No
45% PEEEP 5,45% PEEEP 5,other,No
45% PEEP 10,45% PEEP 10,other,No
45% PEEP 5,45% PEEP 5,other,No
45% PEEP 6,45% PEEP 6,other,No
45% PEEP 8,45% PEEP 8,other,No
45% PEEP 8 PS 10,45% PEEP 8 PS 10,other,No
45% PEEP5,45% PEEP5,other,No
45% PEEP=7,45% PEEP=7,other,No
45% PS 5/5,45% PS 5/5,other,No
45% Peep 10,45% Peep 10,other,No
45% Peep 5,45% Peep 5,other,No
45% Peep 8,45% Peep 8,other,No
45% Peep 8 VC 300 r28,45% Peep 8 VC 300 r28,other,No
45% R 22,45% R 22,other,No
45% T.C.,45% T.C.,other,No
45% VC,45% VC,other,No
45% VC 300 R28 P5,45% VC 300 R28 P5,other,No
45% VC 300 RR 28 PEEP 8,45% VC 300 RR 28 PEEP 8,other,No
45% VC 300 r28 p8,45% VC 300 r28 p8,other,No
45% VC 300/18/+10,45% VC 300/18/+10,other,No
45% VC 300/18/+12,45% VC 300/18/+12,other,No
"45% VC 370, RR 18, PEEP 8","45% VC 370, RR 18, PEEP 8",other,No
45% VC 370/ 18/ +8,45% VC 370/ 18/ +8,other,No
"45% VC 430, RR 20, PEEP 10","45% VC 430, RR 20, PEEP 10",other,No
45% VC 430/20/+10,45% VC 430/20/+10,other,No
45% VC 580 Rate 18 PEEP 5,45% VC 580 Rate 18 PEEP 5,other,No
45% VC300 RR30 PEEP7,45% VC300 RR30 PEEP7,other,No
45% VC400 RR26 PEEP8,45% VC400 RR26 PEEP8,other,No
45% VENT,45% VENT,other,No
45% VENT 7 80 W/ ECMO,45% VENT 7 80 W/ ECMO,other,No
45% fio2,45% fio2,other,No
45% peep 5,45% peep 5,other,No
45% peep 6,45% peep 6,other,No
45% vent 80% S 1 ECMO,45% vent 80% S 1 ECMO,other,No
"45% vent, 25% ECMO","45% vent, 25% ECMO",other,No
"45% vent, 75% ecmo","45% vent, 75% ecmo",other,No
45%%,45%%,other,No
45%+5,45%+5,other,No
"45%, +5, RR12","45%, +5, RR12",other,No
"45%, ECMO 100%","45%, ECMO 100%",other,No
"45%, PEEP 10","45%, PEEP 10",other,No
"45%, PEEP 10, RR28","45%, PEEP 10, RR28",other,No
"45%, PEEP 5","45%, PEEP 5",other,No
"45%, PEEP 6","45%, PEEP 6",other,No
"45%, PEEP 8","45%, PEEP 8",other,No
"45%, VC 300, R28, P10","45%, VC 300, R28, P10",other,No
"45%,+12PEEP, 100%, 7 Sweep ECMO","45%,+12PEEP, 100%, 7 Sweep ECMO",other,No
"45%/+10 PEEP VENT, 100% ECMO","45%/+10 PEEP VENT, 100% ECMO",other,No
45%/+10 PEEP; 100%/Sweep 9.5 ECMO,45%/+10 PEEP; 100%/Sweep 9.5 ECMO,other,No
"45%/+12 PEEP VENT, 100%/7 SWEEP ECMO","45%/+12 PEEP VENT, 100%/7 SWEEP ECMO",other,No
45%/40L,45%/40L,other,No
45%/50L,45%/50L,other,No
45%PEEP10,45%PEEP10,other,No
45%PEEP5,45%PEEP5,other,No
45%PEEP8,45%PEEP8,other,No
45%VC,45%VC,other,No
45%VC300 RR30 PEEP7,45%VC300 RR30 PEEP7,other,No
450/16/8/100%,450/16/8/100%,other,No
450/16/8/40%,450/16/8/40%,other,No
450/20/10/70%,450/20/10/70%,other,No
450/20/12/60%,450/20/12/60%,other,No
450/20/8/50%,450/20/8/50%,other,No
450/20/8/60%,450/20/8/60%,other,No
450/24/5/50%,450/24/5/50%,other,No
45L 50%,45L 50%,other,No
45L 60%,45L 60%,other,No
45L/30%,45L/30%,other,No
45lpm/30%,45lpm/30%,other,No
"46,800",46800,other,Yes
47*,47*,other,No
"473,000",473000,other,Yes
"478,000",478000,other,Yes
48% 20ppmiNO,48% 20ppmiNO,other,No
"48,100",48100,other,Yes
"49,100",49100,other,Yes
4:L NC,4:L NC,other,No
4L  NC,4L NC,other,Yes
4L / NC,4L / NC,other,No
4L 25%,4L 25%,other,No
4L 96%,4L 96%,other,No
4L Face Mask,4L Face Mask,other,No
4L Face Tent,4L Face Tent,other,No
4L N/C,4L N/C,other,No
4L NC,4L NC,other,No
"4L NC / VV ECMO: flow: 3.1, fio2: 100%, sweep:5","4L NC / VV ECMO: flow: 3.1, fio2: 100%, sweep:5",other,No
4L NC 97%,4L NC 97%,other,No
4L NC O2,4L NC O2,other,No
"4L NC, E100 S3","4L NC, E100 S3",other,No
"4L NC, E100, S3","4L NC, E100, S3",other,No
"4L NC, ECMO 100%. Sweep 3","4L NC, ECMO 100%. Sweep 3",other,No
"4L NC, ECMO 80%, SWEEP 3","4L NC, ECMO 80%, SWEEP 3",other,No
"4L NC, VA ECMO 60%, sw 1","4L NC, VA ECMO 60%, sw 1",other,No
"4L NC, VV sw 0.5, 100%","4L NC, VV sw 0.5, 100%",other,No
"4L NC, ecmo100%, sweep 6","4L NC, ecmo100%, sweep 6",other,No
4L NC.,4L NC.,other,No
"4L NC. ECMO 100%, Sweep 0","4L NC. ECMO 100%, Sweep 0",other,No
"4L NC. ECMO 70%, Sweep 3","4L NC. ECMO 70%, Sweep 3",other,No
"4L NC. VV ECMO FiO2 @ 100%, Sweep 1.","4L NC. VV ECMO FiO2 @ 100%, Sweep 1.",other,No
"4L NC. VV ECMO Sweep 1, FiO2 @ 100%","4L NC. VV ECMO Sweep 1, FiO2 @ 100%",other,No
4L NC/VV 100% S 5,4L NC/VV 100% S 5,other,No
4L NC; VA EMCO S3 60%,4L NC; VA EMCO S3 60%,other,No
4L Nc,4L Nc,other,No
4L O2,4L O2,other,No
4L face mask,4L face mask,other,No
4L mask,4L mask,other,No
4L n/c,4L n/c,other,No
4L nasal cannula,4L nasal cannula,other,No
4L nc,4L nc,other,No
"4L nc, VA ecmo swp 3.5 100%","4L nc, VA ecmo swp 3.5 100%",other,No
4L o2,4L o2,other,No
4L oxymizer,4L oxymizer,other,No
4L simple mask,4L simple mask,other,No
4L via n/c,4L via n/c,other,No
4L-NC,4L-NC,other,No
"4L/ VV ecmo sweep off, 100% Fio2","4L/ VV ecmo sweep off, 100% Fio2",other,No
4L/min NC,4L/min NC,other,No
"4L/min NC; VA ECMO flow 3.4, sweep 5, fio2 100%","4L/min NC; VA ECMO flow 3.4, sweep 5, fio2 100%",other,No
"4LNC, 100% ecmo, S 0.5","4LNC, 100% ecmo, S 0.5",other,No
"4LNC, 60% sweep 1 ecmo","4LNC, 60% sweep 1 ecmo",other,No
"4LNC, Ecmo S3, 70%","4LNC, Ecmo S3, 70%",other,No
"4LNC; ECMO S1, 100%","4LNC; ECMO S1, 100%",other,No
4LNC; ECMO S4,4LNC; ECMO S4,other,No
4LPM NC,4LPM NC,other,No
4LPM NC - post extubation,4LPM NC - post extubation,other,No
4O%,4O%,other,No
4l NC,4l NC,other,No
4l iters NC,4l iters NC,other,No
4l nc,4l nc,other,No
4l nc post extubation abg,4l nc post extubation abg,other,No
4l nc va ecmo f3 s .5 100%,4l nc va ecmo f3 s .5 100%,other,No
4lNC ECMO 3L 70%,4lNC ECMO 3L 70%,other,No
4liter nasal cannula,4liter nasal cannula,other,No
4liters nc,4liters nc,other,No
4lpm NC,4lpm NC,other,No
4lpm nc,4lpm nc,other,No
5 CPAP  40%; ECMO 100% S3,5 CPAP 40%; ECMO 100% S3,other,Yes
5 L /min nc plus nitric 20 ppm,5 L /min nc plus nitric 20 ppm,other,No
5 L NC,5 L NC,other,No
"5 L NC, 100% S3 ECMO","5 L NC, 100% S3 ECMO",other,No
5 L O2 N/C,5 L O2 N/C,other,No
5 L nasal cannula,5 L nasal cannula,other,No
5 LPM NC,5 LPM NC,other,No
5 LPM nc,5 LPM nc,other,No
5 Liters N,5 Liters N,other,No
5 liters NC,5 liters NC,other,No
5 liters n,5 liters n,other,No
5 peep 25% fio2,5 peep 25% fio2,other,No
5 peep 30 fio2,5 peep 30 fio2,other,No
5 peep 30 fio3,5 peep 30 fio3,other,No
5 peep 30% fio2,5 peep 30% fio2,other,No
5 peep 40 fio2,5 peep 40 fio2,other,No
5 peep 40% fio2,5 peep 40% fio2,other,No
5 peep 45% fio2,5 peep 45% fio2,other,No
5 peep 65% fio2,5 peep 65% fio2,other,No
"5 peep, 30 fio2","5 peep, 30 fio2",other,No
"5 peep, 30% fio2","5 peep, 30% fio2",other,No
"5 peep, 40 fio2","5 peep, 40 fio2",other,No
"5 peep, 40% fio2","5 peep, 40% fio2",other,No
5+45%,5+45%,other,No
"5,130,000",5130000,other,Yes
"5,180",5180,other,Yes
"5,970",5970,other,Yes
5.3*,5.3*,other,No
5.9*,5.9*,other,No
5/10 40%,5/10 40%,other,No
5/10 60%,5/10 60%,other,No
5/100%,5/100%,other,No
5/3 30% VV 100 S 5,5/3 30% VV 100 S 5,other,No
5/5 30%,5/5 30%,other,No
5/5 40%,5/5 40%,other,No
5/5 50%,5/5 50%,other,No
5/5 FiO2 40%,5/5 FiO2 40%,other,No
5/5 PS 50%,5/5 PS 50%,other,No
"5/5, 30%","5/5, 30%",other,No
5/5/30%,5/5/30%,other,No
5/7 30% VA 100 S3.5,5/7 30% VA 100 S3.5,other,No
50    Peep 5,50 Peep 5,other,Yes
50 % FIO2,50 % FIO2,other,No
50 % HFNC,50 % HFNC,other,No
50 % Peep 10,50 % Peep 10,other,No
50 % vent,50 % vent,other,No
"50 FIO2, 12 peep","50 FIO2, 12 peep",other,No
50 FiO2 10/12,50 FiO2 10/12,other,No
50 HiFlow NC,50 HiFlow NC,other,No
"50 L, FIO2 @ 60%","50 L, FIO2 @ 60%",other,No
50 L/25%,50 L/25%,other,No
50 LITERS/ 100%,50 LITERS/ 100%,other,No
50 Peep 10,50 Peep 10,other,No
50 VC 480 rate 20 peep 10,50 VC 480 rate 20 peep 10,other,No
"50 fio2, 10 peep","50 fio2, 10 peep",other,No
"50 fio2, 5 peep","50 fio2, 5 peep",other,No
"50 fio2, 5 peep, PS","50 fio2, 5 peep, PS",other,No
50 peep 5,50 peep 5,other,No
50 peep 8,50 peep 8,other,No
50 peep of 10,50 peep of 10,other,No
"50 vent , 60 ecmo","50 vent , 60 ecmo",other,No
50 vent 100 ecmo,50 vent 100 ecmo,other,No
"50 vent, 60 ecmo","50 vent, 60 ecmo",other,No
50 vent/ 100 ecmo S3,50 vent/ 100 ecmo S3,other,No
50 vent/ 70 ecmo,50 vent/ 70 ecmo,other,No
50$,50$,other,No
50%  PC 22/8 RR 16,50% PC 22/8 RR 16,other,Yes
50%  PC 25/10,50% PC 25/10,other,Yes
50%  PEEP 8,50% PEEP 8,other,Yes
50%  Peep 8,50% Peep 8,other,Yes
50%  VC,50% VC,other,Yes
50% (30L),50% (30L),other,No
50% (40L),50% (40L),other,No
50% (AC/VC 18/450/50/5),50% (AC/VC 18/450/50/5),other,No
50% (AC/VC 24/400/50/5),50% (AC/VC 24/400/50/5),other,No
"50% (PC 16/10, RR 22)","50% (PC 16/10, RR 22)",other,No
"50% (PC 25/5, RR 26)","50% (PC 25/5, RR 26)",other,No
50% + 10,50% + 10,other,No
50% + 5,50% + 5,other,No
50% + 8,50% + 8,other,No
50% + PEEP 10,50% + PEEP 10,other,No
50% + PEEP 5,50% + PEEP 5,other,No
50% + peep 5,50% + peep 5,other,No
50% + peep 5 RR18,50% + peep 5 RR18,other,No
50% + peep 8,50% + peep 8,other,No
50% +10,50% +10,other,No
50% +12,50% +12,other,No
50% +16,50% +16,other,No
50% +5,50% +5,other,No
50% +6,50% +6,other,No
50% +8,50% +8,other,No
50% - Sat on puls ox is 92%,50% - Sat on puls ox is 92%,other,No
50% / +10,50% / +10,other,No
50% / 35L,50% / 35L,other,No
50% / 40L HFNC,50% / 40L HFNC,other,No
50% / 50L,50% / 50L,other,No
50% /50L,50% /50L,other,No
50% 02 Vent 100% ECMO Blender,50% 02 Vent 100% ECMO Blender,other,No
50% 10 L,50% 10 L,other,No
50% 10L,50% 10L,other,No
50% 12L,50% 12L,other,No
50% 14L,50% 14L,other,No
50% 15 liters via trach collar,50% 15 liters via trach collar,other,No
50% 15L,50% 15L,other,No
50% 15L T piece trial,50% 15L T piece trial,other,No
50% 16L/min,50% 16L/min,other,No
50% 20 liters via HFNC,50% 20 liters via HFNC,other,No
50% 20L,50% 20L,other,No
50% 20ppm iNO,50% 20ppm iNO,other,No
50% 25 lpm hfnc,50% 25 lpm hfnc,other,No
50% 25L,50% 25L,other,No
50% 2L,50% 2L,other,No
50% 30 L,50% 30 L,other,No
50% 30 L/min HFNC,50% 30 L/min HFNC,other,No
50% 30 LPM,50% 30 LPM,other,No
50% 30 liters hfnc,50% 30 liters hfnc,other,No
50% 30 litesr Hfnc,50% 30 litesr Hfnc,other,No
50% 30L,50% 30L,other,No
50% 30L HFNC,50% 30L HFNC,other,No
50% 30LPM HFNC,50% 30LPM HFNC,other,No
50% 35L,50% 35L,other,No
50% 40 L/min,50% 40 L/min,other,No
50% 40L,50% 40L,other,No
50% 40L HFNC,50% 40L HFNC,other,No
"50% 40L, Ecmo 1.5L Sweep, 70%","50% 40L, Ecmo 1.5L Sweep, 70%",other,No
50% 40L/min,50% 40L/min,other,No
50% 40LPM,50% 40LPM,other,No
50% 40LPM HFNC,50% 40LPM HFNC,other,No
50% 40lpm hfnc,50% 40lpm hfnc,other,No
50% 45L,50% 45L,other,No
50% 5 Peep,50% 5 Peep,other,No
50% 5/5,50% 5/5,other,No
50% 50 lpm,50% 50 lpm,other,No
50% 50L,50% 50L,other,No
50% 50L 100% ecmo sweep 3,50% 50L 100% ecmo sweep 3,other,No
50% 50L HFNC 100% ecmo,50% 50L HFNC 100% ecmo,other,No
50% 50L HFTC/ 100% ECMO/ 3 Sweep,50% 50L HFTC/ 100% ECMO/ 3 Sweep,other,No
50% 50L HighFlo,50% 50L HighFlo,other,No
50% 50L and 100% ecmo,50% 50L and 100% ecmo,other,No
50% 50L hiflow 100% sweep 1.2 ecmo,50% 50L hiflow 100% sweep 1.2 ecmo,other,No
"50% 50L hiflow, ecmo 100% sweep 1.2","50% 50L hiflow, ecmo 100% sweep 1.2",other,No
50% 50lpm,50% 50lpm,other,No
50% 5Peep,50% 5Peep,other,No
